# real imag
4.45979633723793067e-01 -4.49959073596784553e-01
-3.04314096316242177e-02 -4.21745357692512257e-01
3.32777763192608350e-02 -1.23118735908354537e-01
-2.77634099555780500e-01 -3.20509408609049029e-01
-2.92369232737647144e-01 -2.68736907209493114e-01
3.22523415691250925e-01 3.63449656163558010e-01
2.97130050035214144e-01 -8.38989486397697992e-01
-5.58110359536699990e-02 -5.53415164183203911e-01
-3.81244349860560772e-01 -3.49106884405778750e-01
1.06041715295218719e-01 1.32266450048633133e-01
-3.47933265326247909e-01 1.68210313149646296e-01
6.84166772459354755e-01 -2.95711294968460381e-02
-4.29376483534548992e-01 4.82165818694603523e-02
8.45307324746638195e-02 3.93711180366622837e-01
8.92276394562981912e-02 -6.12306738596820277e-01
4.32521425696413622e-02 1.60655031636156881e-01
1.22380263696554192e-01 2.81565434741309628e-01
6.96529762884599779e-01 -4.17627687778037937e-01
4.14455113591977120e-01 1.78358657169351120e-01
1.55991734772118279e-01 4.99068775763778172e-01
-1.98550319143245974e-02 1.46166630178820978e-01
2.98346100724824412e-02 2.14743638396273667e-01
-1.76265520051529068e-01 -1.81896981026056725e-01
-4.70183377524109394e-02 -1.90794016717200948e-01
4.28572075713028536e-02 5.70863397346543122e-01
-2.10820568034947114e-01 -5.19478472601418106e-01
6.67126450240251190e-01 4.41329220047853743e-01
3.88618240771139933e-01 2.60843967614461436e-01
-9.55499371891377347e-02 -3.28347518067566790e-01
3.76395111391644097e-02 -1.44430309041485488e-01
1.24052705575876909e+00 1.60983667186794643e+00
1.17750057245777515e-01 -5.29915387043604184e-03
-6.45802754088857456e-01 5.78270929826928626e-01
5.59475069303200456e-01 2.77059257791355651e-01
2.69646132778760095e-01 1.89955069158646600e-01
-1.09200630385858102e-01 9.71298189336212703e-02
-1.30366747049050380e-01 -6.85226680582359693e-01
-9.96672751122105738e-02 -3.38935040097857354e-01
2.06837985111915340e-01 -2.93885652490497973e-01
-2.56028710867832299e-01 2.97886359320039540e-01
2.46142823654985687e-01 4.08327464710752819e-01
-3.07349170738123567e-01 -3.59521140142806728e-01
-1.28149322590689840e-01 -3.84719039724999767e-01
2.51140702021811379e-01 -1.12332990685680659e-01
1.13151342695924889e-01 -4.13415116191405363e-01
5.18890339223256558e-01 -4.17010329090143836e-02
-1.04099624842360711e-01 5.32377831882915042e-02
3.52164867938236703e-01 9.76567257620935547e-01
-9.76177239821405529e-02 7.65629481458493966e-01
-6.76515498836520734e-02 6.23513793210502126e-02
3.09814119380211972e-01 7.68414878937479506e-02
-2.22859322588414677e-01 -6.46538301141953098e-01
1.56470531795209172e-01 -5.03136182879200700e-01
-1.24491436202670003e-03 -3.70065415516874330e-01
-3.72698059290237027e-01 -3.82993179644503523e-01
2.67182670765178654e-01 -5.20646578867469123e-02
-3.32336756029317781e-01 7.65630510823419264e-01
-3.77331890250767021e-01 2.36524562955516993e-01
1.63046037712754360e-01 2.15532083331008373e-01
6.68826950668552217e-02 6.47584753315484790e-02
3.23885177681191405e-01 -1.76247213496662614e-01
2.92890473217664558e-02 1.21221368312479205e+00
7.31411167140107454e-02 3.53735717796256843e-01
5.20298149108716426e-02 4.35038704340845461e-01
-2.57706843780510009e-01 2.67240844910579603e-02
-4.51349074811067674e-02 1.58320519358858436e-01
3.25792384150003056e-01 4.48406830849586921e-02
-9.75084360373960624e-02 -1.41325910191235832e-01
1.70482919416501566e-01 1.09577742414528070e-01
2.46202526763826646e-01 -9.50088048451785072e-01
-2.02593364936180770e-01 3.09156141622809966e-01
7.23981739191121160e-02 -2.81380800918625940e-01
6.00962591160489057e-02 3.16957731611597016e-01
1.48887236380539423e+00 1.96829749612271260e-01
2.67786678854617488e-01 -2.28064582693053713e-02
9.31845796710555757e-02 -1.73164283886920511e-01
3.53471227143755951e-01 -1.15263872001208523e-01
-4.10866800470000987e-02 1.67789038552510011e-01
2.35234325775122544e-01 -3.80146778457475465e-01
