# real imag
-5.21470218499503479e-01 -1.27414467189824021e-01
-1.05766586456712719e-01 1.96076710421280831e-01
-7.22776955128081600e-02 3.76351093020427352e-01
4.37559651026799390e-01 1.73389755769749188e-02
2.91206930621099036e-02 -1.03595740836189498e-01
-3.11975013639873289e-01 -2.72710814223106002e-01
-2.78030772776435786e-01 -5.41434347204643340e-01
1.98471826959504910e-01 5.70891035080537124e-02
3.25699207157933657e-01 -1.82981390736938532e-01
-3.39180235807968633e-01 -3.74318366835540095e-01
5.71116411390751422e-01 3.95879076945803016e-02
-1.42153460026967132e-01 -3.11875066106558387e-02
2.02064074470583915e-01 -1.10852366319193804e-01
1.08981525523441106e-01 -3.37814206506452386e-01
1.47611099428918757e-01 1.55027943144631336e-01
-3.91292400235543292e-01 1.07639386236546564e-03
-7.90833285770635719e-02 2.52067115550174525e-01
-3.17024284044157167e-01 -5.45863743563874126e-02
-4.53327315349860815e-01 1.38975195067384955e-01
3.01817530391385758e-01 1.02729677013446397e+00
4.15506616860449096e-01 -3.01804793210217470e-02
-4.79791795440326074e-02 3.87719053268442082e-01
3.61100686488723843e-01 -2.85995637537347303e-01
-7.30132804930748308e-02 -1.17553709822985408e-01
2.60611355230321917e-01 5.41997532568018747e-01
3.37531709220159570e-01 2.13827406843302870e-01
-7.77357633200153941e-01 -1.02052746227190538e+00
-2.39849435085458834e-01 3.36531222911648442e-01
-8.66974418903452282e-02 -4.06369657541468365e-01
-3.72834100580226868e-02 -1.03159453140856172e-01
-9.66932298577237725e-01 -1.89385066426450344e+00
-2.42900348600395832e-02 3.66312491751324021e-01
7.77774092469828426e-01 1.47181899462792073e-02
-7.09925478124132314e-01 -3.29074609213096558e-01
-5.69945338920179179e-01 -1.49017868148607596e-01
2.58550886600207697e-01 -1.05271156224889514e-01
1.59160845989255451e-01 -7.42223111553985682e-03
-1.32924557331197207e-01 -4.51527612220547492e-01
-3.04441160461478066e-01 -1.60219926410237412e-01
3.36057984650991459e-01 2.24593245489481841e-01
-4.91067464180597102e-01 5.67325286746983570e-02
2.20720620873475631e-02 -1.15172564211657807e-01
-1.08812798305187919e-01 -1.87053195313985982e-01
-3.42708496629248793e-01 -2.60809103186844526e-01
-4.10119186205903152e-01 -1.64078082137176701e-01
-4.16353799077301578e-01 1.63517910326374166e-01
1.03949818407767972e-01 5.26968001746093359e-02
4.18805684676148537e-01 -5.73385843213699009e-01
4.82975797482741720e-01 4.88806537796104390e-01
1.00850145636674438e-01 1.41076854241484917e-01
-2.03177226740882400e-01 -1.70724061954595357e-01
1.51521780486361418e-01 4.28336513844737810e-01
-3.88159077615568615e-01 -3.13330889909316457e-01
-1.10891068607855914e-01 -4.23069873576221778e-01
4.71517801519468982e-01 2.32791340403714075e-01
-1.74148134198565174e-01 -8.71705143213410527e-01
4.15842350410274397e-01 4.31632094798621246e-01
8.87061272638621445e-01 2.11001079875870995e-01
1.63127032248704285e-01 1.96276229304703981e-01
-3.01820638716888204e-02 1.20004300981590692e-01
-3.92022810528122378e-01 -5.19616750817320505e-01
3.75161355535334085e-01 3.78128366181692210e-01
9.74467214478285104e-01 8.95487574987196888e-01
-6.14359858122882962e-01 -1.00644497921424803e+00
3.41587262517341006e-01 -2.67421895277324684e-01
-1.78842807412800953e-02 5.98420353291599483e-01
-3.88968680457289828e-01 -3.35634513787251620e-01
6.21856239571607836e-02 -1.40966562342505097e-01
-8.97286891915943519e-02 1.79472260963474323e-01
-3.51622112479060556e-02 -7.26212431905309486e-01
3.13737115779937570e-01 2.90825106232118491e-01
-2.16201180918895314e-01 -2.79173730024638300e-01
1.03237916065891583e-01 5.02328807008457723e-01
-1.86420503403015236e+00 -3.88081690359537435e-02
-5.83974287273029913e-01 8.64734023010411412e-02
-1.66983190236577317e-02 4.61367767823911035e-01
-4.51318146027333778e-01 1.41272240570362168e-01
1.55919983433610243e-01 6.05503310936483172e-02
-3.56429843820432135e-01 -2.42087840978734814e-01
6.02903283479046870e-01 1.67896289059711046e-01
1.89574863343483807e-01 4.64090401071236003e-01
1.42132918836601418e+00 -1.11431651224358649e-01
9.15413174469304813e-01 7.27449235513617731e-01
2.36661278974954481e-01 -2.65542035718942693e-01
-3.24962707477293777e-01 -6.91462564726651324e-02
4.85018558035696767e-01 -3.16583007976366515e-02
-1.10366472857781187e-01 -6.02794348845698408e-02
3.12681942409406832e-02 -5.17219350906882536e-01
2.55254832443080448e-01 3.25850311481069188e-01
1.67385882149910098e-02 3.65082401608270768e-01
-5.24294081615586216e-01 -4.36932481323854538e-01
-3.44955088991872993e-01 4.35522656117197871e-01
2.88204837717611628e-01 1.39494909749594859e-01
1.97778574851619204e-01 6.56762257993979803e-01
3.95082941198956039e-01 -2.48967099468112102e-01
-6.55763234644642229e-02 2.38553691363027676e-01
-3.15318898412467519e-01 1.51029842414784038e-01
4.85999754494686909e-01 -4.06647876176630119e-03
6.05667684480892810e-01 -4.70385476459712848e-01
5.89515120810512272e-01 3.51940868467842394e-01
2.17482213360895960e-01 7.66007955041979587e-03
2.56187342003936502e-01 4.96425956264952672e-01
-1.30530041293992760e-01 -4.63816721508898466e-01
2.12297182946495439e-01 -3.14793608163768501e-01
1.93087592454363292e-02 -8.98079944333760316e-02
-3.95515094179865578e-01 -4.13792583923778934e-01
2.47471429026425549e-01 -3.48905074514621605e-02
5.13255057163763184e-01 -7.66502732611002990e-02
1.25720713299538045e-01 5.87713951943556467e-02
4.57352493258990522e-01 2.45306758915071976e-01
-1.61613067191351323e-01 9.66717976381600730e-01
-2.58623832040830171e-01 -1.87420517730160163e-01
4.28718264457165904e-02 -5.69328958104259764e-01
-6.13967412918988598e-01 -2.25312398760372845e-01
-1.16952258416281124e-01 1.27299427467102294e-01
1.22821634466944163e-01 1.47594469203057993e-02
3.85368356845211202e-01 5.50374386358051026e-01
-2.10861919776595963e-02 -2.73302213000886252e-01
2.22361360645531199e-02 1.64326630066871759e-01
3.63603839417625863e-01 -3.40035169069160398e-03
4.71305536455458751e-01 8.74546244418668850e-02
-5.91800676129088599e-01 -1.15608948305434514e-01
-9.60103870862522579e-02 -2.12620036729234241e-01
4.60993414888753034e-02 7.73879044968137780e-02
-2.74956986573638540e-01 -2.74073936301067633e-01
-3.04554100224255109e-01 -2.26224160222343151e-01
9.13107834676864238e-02 2.31486066001473229e-02
-4.44330943372683751e-01 3.15720161432554491e-01
-2.99889062112624616e-01 6.25317188329505003e-02
-2.52617945823501111e-01 4.05576556786068854e-01
5.67514733549395328e-02 -3.65527709268535228e-01
6.73832518866777530e-01 4.22812293155519908e-02
1.27235059553236940e-01 -2.55603757102440599e-01
-5.24091249714726953e-02 -1.68240956499556005e-01
-2.37555279241584844e-02 4.14811623959828624e-01
-1.94804226221979876e-01 2.98077008481786698e-01
-2.03315732522137499e-01 -4.86948367328772169e-01
-9.11844984601755670e-02 -1.63491015611648971e-01
-3.21525004303602813e-01 -1.37476763023351767e-01
-2.94708681859546517e-01 -3.39070556950194502e-01
3.41598712951840452e-02 -9.75276285285828215e-03
5.07007481899754531e-01 2.92431710913694909e-01
3.40379946021336477e-01 9.90966146610455789e-04
1.48758426637529556e-01 -4.62470223445407336e-01
4.06250705937733880e-01 -3.42876923505665232e-01
3.82196871677269123e-01 -7.79176789563810479e-02
-6.72879920616678007e-01 -7.73857607497988043e-03
-5.52116865907187615e-02 5.44256666556917290e-01
-1.86750832540691830e-01 -2.32298084827897877e-01
1.81407280395808057e-02 1.25272757829234305e+00
4.54291114023872622e-01 1.84262545365846464e-01
-2.36775328360930792e-01 -2.48002216469059678e-01
-9.79237949091587012e-02 -7.68660696429776191e-01
-2.90027483309534317e-01 -1.69354319791595376e-01
1.09785674419659918e-01 4.95466469059727355e-01
-2.39485533110631754e-01 -1.61739505205538009e-02
1.20725091334492884e-01 -2.98503195919158915e-01
-1.79486598803192621e-01 2.70023219503170153e-01
-4.45894701934493820e-01 -2.81025321542369755e-01
1.84777111839579122e-01 -1.79925211744629970e-01
-5.41028190791307706e-01 1.96314406272407593e-03
1.27241988148444174e-01 3.59736493500766863e-01
-4.38426747096303637e-01 -4.37752545720590303e-01
9.33353423545462829e-02 3.33864711021000959e-01
8.09107721728604901e-01 6.53489519933470930e-01
-9.75892297685203164e-02 -9.45853742725393021e-01
-4.06196540794481642e-01 2.13071476441393570e-01
3.69095213251134369e-01 1.89417947574301193e-01
-2.12411489141591303e-01 4.88540598025742678e-01
-1.67270041910745015e-01 3.73023742688057686e-02
2.65137835565949942e-01 -3.09734631719791431e-01
1.58009455229862872e-01 9.37020754916528587e-01
1.05100628964314269e-01 -2.81528455682310774e-01
-2.13448241678814099e-01 -6.23383903951492402e-02
-3.29841101329789610e-01 2.26591668519096068e-01
1.35752247073176402e-01 4.83842348913542941e-01
-3.77536876123876597e-01 1.43732761269148690e-01
-2.66239860738240797e-01 4.30921760530922626e-01
2.06138083027400332e-01 1.48783841337883055e-01
1.79044609864356025e-01 4.49395423275361083e-02
-1.03616368755086605e-01 -9.04001574525609974e-02
1.23940890583471214e-01 -1.55807639593176450e-01
-3.38063579013584192e-01 1.29916714900070507e-01
1.20475288424687327e-01 5.97028259720386728e-02
-5.36611170488558442e-01 -1.94336232244818802e-01
4.29444638942318213e-01 -2.35108985693499584e-01
-7.83853670633433003e-02 -3.61972438671441868e-02
4.93566848824938606e-03 -2.27723977956240581e-01
-6.50737549114019265e-01 -7.57453747796223015e-02
-5.49381946438694757e-01 1.81573243682106727e-01
2.00846932612756685e-01 5.59347500117466923e-01
-1.65479901433751020e-02 -1.21146175847871088e-01
-2.78507408187484540e-01 -2.18456392028455348e-01
4.64579334086323625e-01 -9.93358044004202245e-02
6.75792463285656980e-02 4.88359550879146009e-01
1.76202407555879972e-02 -6.25144380951451334e-02
-1.19507372175924748e-02 -6.06238113871548634e-02
-8.23405155662549904e-02 4.59153291601644475e-01
-1.22188760238294239e-01 4.85580385433731221e-01
-2.09602692921473294e-01 2.09694911712979631e-01
-2.85947102826103694e-01 -5.04283794724393331e-01
5.23673600270504330e-02 4.35067857323537033e-01
3.27695270629662971e-01 -3.81682569134142058e-01
3.31287434457714747e-01 1.72050626781532212e-01
3.71048019618791858e-01 -2.36079256865046994e-01
3.85206088845121808e-01 2.65315356491294049e-02
