# real imag
-5.21470220248305139e-01 -1.27414467549499644e-01
-1.05766583122743549e-01 1.96076709521714299e-01
-7.22777695112757496e-02 3.76351254648524869e-01
4.37559651689383544e-01 1.73389757386352428e-02
2.91207052701260016e-02 -1.03595770611083604e-01
-3.11975013951372948e-01 -2.72710815106754934e-01
-2.78030774665478042e-01 -5.41434350975531609e-01
1.98471826323959821e-01 5.70891033134476589e-02
3.25699206464721058e-01 -1.82981391957925343e-01
-3.39180235848783984e-01 -3.74318367373973837e-01
5.71116412438964050e-01 3.95879076637294797e-02
-1.42153464373338034e-01 -3.11875065273535881e-02
2.02064079736856694e-01 -1.10852368976913224e-01
1.08981516953459479e-01 -3.37814206119767979e-01
1.47611099237106191e-01 1.55027943027392534e-01
-3.91292401628655528e-01 1.07639355255852685e-03
-7.90833286007297243e-02 2.52067115876580039e-01
-3.17024286362942831e-01 -5.45863748571233237e-02
-4.53327316775108291e-01 1.38975195918532524e-01
3.01817530506379939e-01 1.02729677192703228e+00
4.15506618436406516e-01 -3.01804778720302126e-02
-4.79791796693294637e-02 3.87719053723590501e-01
3.61100700277273090e-01 -2.85995633477270139e-01
-7.30134392300368779e-02 -1.17554064958194149e-01
2.60611355963503599e-01 5.41997535279611364e-01
3.37531709122602885e-01 2.13827407127565428e-01
-7.77357635572482719e-01 -1.02052746276222583e+00
-2.39849435263259331e-01 3.36531224980945287e-01
-8.66974417922485585e-02 -4.06369659304057940e-01
-3.72834120489450027e-02 -1.03159453781644248e-01
-9.66932300472633677e-01 -1.89385066752056686e+00
-2.42900324667704032e-02 3.66312506261046777e-01
7.77774092697992359e-01 1.47181901361482445e-02
-7.09925470377905321e-01 -3.29074609281929553e-01
-5.69945339631174219e-01 -1.49017868069137471e-01
2.58550886760654519e-01 -1.05271156742497013e-01
1.59160845173853593e-01 -7.42223094861793609e-03
-1.32924565550761431e-01 -4.51527636671482546e-01
-3.04441187850319483e-01 -1.60219946395984691e-01
3.36058015529642373e-01 2.24593263427265544e-01
-4.91067464651258168e-01 5.67325292875456022e-02
2.20720744952640352e-02 -1.15172595750755835e-01
-1.08812797042469378e-01 -1.87053198025857625e-01
-3.42708498287142005e-01 -2.60809103815572429e-01
-4.10119186332368602e-01 -1.64078082386194257e-01
-4.16353809704752775e-01 1.63517912473332833e-01
1.03949818585443998e-01 5.26968002806952121e-02
4.18805686267159694e-01 -5.73385845635921654e-01
4.82975799758464885e-01 4.88806540373823095e-01
1.00850144917566970e-01 1.41076854585786698e-01
-2.03177226338984801e-01 -1.70724062189209047e-01
1.51521779876801266e-01 4.28336515009331231e-01
-3.88159088738167624e-01 -3.13330901987958155e-01
-1.10891081882827813e-01 -4.23069886848234988e-01
4.71517802111140027e-01 2.32791340957703263e-01
-1.74148134108048330e-01 -8.71705143812526062e-01
4.15842352801288673e-01 4.31632096988330327e-01
