# real imag
4.45979631575806890e-01 -4.49959074833726935e-01
-3.04314053546773967e-02 -4.21745352947931640e-01
3.32775644988411584e-02 -1.23118972671906426e-01
-2.77634099550194413e-01 -3.20509403060040277e-01
-2.92369195838114992e-01 -2.68736883959841910e-01
3.22523418356856384e-01 3.63449661677630598e-01
2.97130045993849345e-01 -8.38989480151997258e-01
-5.58110371375741404e-02 -5.53415161240304543e-01
-3.81244349545880490e-01 -3.49106881887608855e-01
1.06041713266335047e-01 1.32266448385707086e-01
-3.47933264393481489e-01 1.68210314761292806e-01
6.84166755687108497e-01 -2.95711327399659496e-02
-4.29376473527203317e-01 4.82165806925275442e-02
8.45307218918005393e-02 3.93711176726521228e-01
8.92276393288793379e-02 -6.12306735496620513e-01
4.32521448245497472e-02 1.60655041453510422e-01
1.22380263684434581e-01 2.81565427961885106e-01
6.96529754301212778e-01 -4.17627683498985602e-01
4.14455107189489635e-01 1.78358653603842426e-01
1.55991733815163847e-01 4.99068774360804990e-01
-1.98550360433765033e-02 1.46166621161848115e-01
2.98346099692923562e-02 2.14743638441769191e-01
-1.76265507735023502e-01 -1.81896959367163824e-01
-4.70182612946566450e-02 -1.90793651815332782e-01
4.28572073804854986e-02 5.70863395034058807e-01
-2.10820568964602495e-01 -5.19478468604906096e-01
6.67126444851799616e-01 4.41329217852566902e-01
3.88618239444289082e-01 2.60843967306354452e-01
-9.55499366060502536e-02 -3.28347517594996863e-01
3.76395092206950263e-02 -1.44430307479554682e-01
1.24052705400180430e+00 1.60983666066240327e+00
1.17750052202263172e-01 -5.29915866743043643e-03
-6.45802753682586994e-01 5.78270929582923587e-01
5.59475075421095869e-01 2.77059256745492755e-01
2.69646132306109343e-01 1.89955066032114595e-01
-1.09200630159723894e-01 9.71298187852236150e-02
-1.30366748912812358e-01 -6.85226677052781286e-01
-9.96672699585218341e-02 -3.38935020824276789e-01
2.06837965539018120e-01 -2.93885628815315436e-01
-2.56028687065254668e-01 2.97886333264668957e-01
2.46142820775847232e-01 4.08327462854285117e-01
-3.07349134472692243e-01 -3.59521114969592492e-01
-1.28149320093845387e-01 -3.84719038109614497e-01
2.51140700571906073e-01 -1.12332984224461960e-01
1.13151342806945526e-01 -4.13415115597931537e-01
5.18890322720120589e-01 -4.17010334938994892e-02
-1.04099624687554057e-01 5.32377831948501676e-02
3.52164872401269702e-01 9.76567245839741638e-01
-9.76177225077367317e-02 7.65629477484788601e-01
-6.76515503859191486e-02 6.23513788887253007e-02
3.09814118840259556e-01 7.68414884089282935e-02
-2.22859336298928790e-01 -6.46538323239324031e-01
1.56470526739605070e-01 -5.03136167121081224e-01
-1.24491978273144968e-03 -3.70065392101063151e-01
-3.72698059606485388e-01 -3.82993174221751387e-01
2.67182671638962366e-01 -5.20646562855597850e-02
-3.32336751761196758e-01 7.65630507946927219e-01
