event	weight	X(3872)_re	X(3872)_im	X(3915)(0-)_re	X(3915)(0-)_im	chi(c2)(3930)_re	chi(c2)(3930)_im	X(3940)(1.)_re	X(3940)(1.)_im	X(3993)_re	X(3993)_im	Psi(4040)_re	Psi(4040)_im	X(4300)_re	X(4300)_im	NR(0-)SPp_re	NR(0-)SPp_im	NR(1.)PSp_re	NR(1.)PSp_im	NR(0-)SPm_re	NR(0-)SPm_im	NR(1-)PPm_re	NR(1-)PPm_im	X0(2900)_re	X0(2900)_im	X1(2900)_re	X1(2900)_im	total_re	total_im
1	3.8817707526066316	-0.05086780154728837	0.14990631468285098	-0.004875947283186533	0.04432848270185717	0.01494921162579548	-0.030448429638492848	0.023654387599218583	0.10098546382407216	-0.05025662007560837	0.001967011435148852	0.028978258953662545	-0.0012970326679663843	0.07571956317610318	0.07103154211253099	0.14006813435947055	-0.005517066274269486	-0.05683583750494345	-0.0029260962383979225	-0.04385672014396554	-0.0002419544006261958	-0.05767639871626852	-0.14847213881773366	-0.04709679573550741	-0.0038198512786340203	0.012789804821908368	-0.06953026429709146	-0.015306760470609514	0.10596598114324825
2	3.2535530487679694	-0.03907802121622162	0.1604141089483453	-0.010309222502404765	-0.14038731585048178	0.013107298483725665	-0.02875056229360198	0.05245859031116436	0.10240113166090338	-0.10752862841715018	0.018996812977312198	-0.09214843843424697	0.039876390794446964	0.016047648936396843	0.006385412628273482	-0.2117197522853579	-0.0852163295668846	0.01071842903948042	0.0005518200535222309	0.08224404089866491	0.00045373451446872155	0.07065075025778904	0.18187106395900396	0.23794068139512556	-0.13301835822495922	-0.31004333618508656	-0.043642683328173046	-0.2876599597181212	0.0799352262721756
3	3.480083761351281	0.010244352496564121	-0.03365733852385995	-0.009233031094899827	0.04565401500704367	0.006722789605215202	-0.012398444403579392	-0.004042585877680813	-0.021162917960127516	0.011316845896482113	0.0004140615839761429	-0.04763835664387801	-0.0016249811907486868	0.023604795910301957	-0.003623605611258042	0.20252420198077345	-0.08358201438442991	0.00900732027395949	0.0004637265346778043	-0.06092410720801722	-0.0003361139591563864	0.14761575860108986	0.37999646112655255	0.08327900145097161	0.038488961640652415	0.036100810539585464	0.00010405392889371347	0.4085777959304674	0.30873586378863643
4	3.322850095705544	-0.012430480330028575	0.024005137054414004	0.013637040838081909	-0.0783996050127318	-0.0006439550191422972	0.0012295519733536847	0.0016321995355976183	0.019292451846921663	-0.002495855184280253	0.001157234395111399	0.01907806106754687	0.0002529016174803235	-0.032222301671313694	0.02010956876422667	-0.31689161904859453	0.08774280521499134	-0.03795084755767005	-0.0019538347134033635	0.09522500093844023	0.0005253495462281951	-0.05178278108779875	-0.13330062960167735	-0.22808222649172122	-0.22125022123766785	-0.027102716293293434	0.001386832833170969	-0.5800304803041761	-0.2792024573195821
5	3.8834667842651123	0.0037354223931737856	0.02899895912906482	0.012933092379263968	-0.04967337828746106	-0.005896318107803344	0.010020129815306028	0.0070656013065808	0.008484764192581918	-0.022192177049096717	-0.00405738612036262	0.026706282961026	0.0018825857376733501	-0.0042948175161952405	0.00014508649171965588	-0.2486250843729879	0.20339295206526628	0.09498316228615056	0.0048900462468327455	0.08094075730306767	0.00044654439171937883	-0.10783239809336623	-0.27758506313001635	-0.07144992903855497	-0.02356337830150233	-0.009937029167538972	-0.010630855524520725	-0.24386343471628058	-0.1072489932936989
6	3.2624162215887202	-0.006909668248513351	0.03813908224526034	-0.003711633834744618	0.0142884525911783	-0.018821019478605497	0.032013262637866136	0.005238614718410407	0.02018914449327272	-0.016972917354156673	-0.0020330198418503564	-0.027811512011967347	-0.0019511005230956906	-0.011779347007828607	-0.0007475036841141031	0.07148237929300472	-0.05807598052982081	0.02663641131831081	0.0013713302448679497	-0.02323363115045848	-0.00012817828786389036	0.11199432132932816	0.28829879800584157	-0.05748000159021021	0.009605132412267016	-0.10841508129982118	-0.06497973641811794	-0.059783085317251884	0.27598968334569124
7	3.3275120727445344	-0.005262048359376818	0.1378569261526278	-0.013833491842882014	0.05740823505345091	0.009088892331250216	-0.01589640396596086	0.026507954628380955	0.05784262607056134	-0.0832369816049906	-0.012488586122312198	0.012405098876468916	0.0007341469795303096	-0.038134902826803825	0.00036324769522815166	0.28013157566041025	-0.18356527481177312	0.24395998769832852	0.012559864227593961	-0.08742933517196111	-0.00048234141356759213	-0.04589808262183799	-0.1181520803339474	-0.12143351916092437	0.003138465263351227	-0.05337104256694962	-0.28035319038861284	0.12349410503911253	-0.3410343655938303
8	3.6347494421037236	0.016599644833669	-0.034124598317655665	0.0023980494024881823	-0.0067400355659625105	0.0006381523194045139	-0.000924206302822573	0.0004065275655158185	-0.02571150581840669	0.004140078727792005	-0.0008886080715390155	0.0011632884046844764	0.00013632830931891473	0.009429560795149963	0.001857070872097751	-0.01750236419614979	0.07480527728317742	0.08698277498459811	0.00447815994029661	0.015543979820755496	8.575502929837912e-5	-0.0071510256035841385	-0.018408362687960873	-0.02319330063349566	-0.008830168570199385	0.02546797418835295	-0.04307344121115577	0.11492334060918091	-0.057338335111513414
9	3.267117313519277	0.16565754832711752	-0.11093088425925314	-0.004930231426507363	-0.038374542273928655	-0.017040484076350632	0.037230155432598125	-0.03213041920314902	-0.22132250311007176	-0.2271395899100225	0.013567197819214755	0.08038677756823501	-0.06262201723851514	-0.024461846112377075	-0.010754904128358772	-0.04751890331204141	-0.02362092732803479	0.361989855327391	0.01863643082446983	0.019633384621595446	0.00010831598425025691	-0.050853481365856365	-0.1309084012311395	0.13130253560151142	-0.3497662559707883	-0.23103950573504958	0.02689536852120014	0.12385564030449639	-0.8518629669583571
10	4.759922947543638	0.1113698035037056	0.16601692389294928	0.03062558927315812	0.1769728204356843	-0.003338465448349106	0.007235348320812822	0.07743051515301787	-0.06363954030594521	-0.5358916434959989	0.17586242294553336	-0.010718114504336981	0.0153692927981738	-0.0037983578573252018	-0.002787630095490834	0.18926305568045007	0.10679983445126295	0.3731037030439821	0.019208608334739058	-0.0818275745505363	-0.00045143689929568387	0.007372813737544797	0.018979295675221823	-0.007891990184295377	-0.0008258679351457264	0.00017106157662495972	-0.0046802561371239795	0.1458703959276417	0.6140598154813759
